ds,y
5/16/96,664.849976
5/15/96,665.419983
5/14/96,665.599976
5/13/96,661.51001
5/10/96,652.090027
5/9/96,645.440002
5/8/96,644.77002
5/7/96,638.26001
5/6/96,640.809998
5/3/96,641.630005
5/2/96,643.380005
5/1/96,654.580017
4/30/96,654.169983
4/29/96,654.159973
4/26/96,653.460022
4/25/96,652.869995
4/24/96,650.169983
4/23/96,651.580017
4/22/96,647.890015
4/19/96,645.070007
4/18/96,643.609985
4/17/96,641.609985
4/16/96,645
4/15/96,642.48999
4/12/96,636.710022
4/11/96,631.179993
4/10/96,633.5
4/9/96,642.190002
4/8/96,644.23999
4/4/96,655.859985
4/3/96,655.880005
4/2/96,655.26001
4/1/96,653.72998
3/29/96,645.5
3/28/96,648.940002
3/27/96,648.909973
3/26/96,652.969971
3/25/96,650.039978
3/22/96,650.619995
3/21/96,649.190002
3/20/96,649.97998
3/19/96,651.690002
3/18/96,652.650024
3/15/96,641.429993
3/14/96,640.869995
3/13/96,638.549988
3/12/96,637.090027
3/11/96,640.02002
3/8/96,633.5
3/7/96,653.650024
3/6/96,652
3/5/96,655.789978
3/4/96,650.809998
3/1/96,644.369995
2/29/96,640.429993
2/28/96,644.75
2/27/96,647.23999
2/26/96,650.460022
2/23/96,659.080017
2/22/96,658.859985
2/21/96,648.099976
2/20/96,640.650024
2/16/96,647.97998
2/15/96,651.320007
2/14/96,655.580017
2/13/96,660.51001
2/12/96,661.450012
2/9/96,656.369995
2/8/96,656.070007
2/7/96,649.929993
2/6/96,646.330017
2/5/96,641.429993
2/2/96,635.840027
2/1/96,638.460022
1/31/96,636.02002
1/30/96,630.150024
1/29/96,624.219971
1/26/96,621.619995
1/25/96,617.030029
1/24/96,619.960022
1/23/96,612.789978
1/22/96,613.400024
1/19/96,611.830017
1/18/96,608.23999
1/17/96,606.369995
1/16/96,608.440002
1/15/96,599.820007
1/12/96,601.809998
1/11/96,602.690002
1/10/96,598.47998
1/9/96,609.450012
1/8/96,618.460022
1/5/96,616.710022
1/4/96,617.700012
1/3/96,621.320007
1/2/96,620.72998
12/29/95,615.929993
12/28/95,614.119995
12/27/95,614.530029
12/26/95,614.299988
12/22/95,611.950012
12/21/95,610.48999
12/20/95,605.940002
12/19/95,611.929993
12/18/95,606.809998
12/15/95,616.340027
12/14/95,616.919983
12/13/95,621.690002
12/12/95,618.780029
12/11/95,619.52002
12/8/95,617.47998
12/7/95,616.169983
12/6/95,620.179993
12/5/95,617.679993
12/4/95,613.679993
12/1/95,606.97998
11/30/95,605.369995
11/29/95,607.640015
11/28/95,606.450012
11/27/95,601.320007
11/24/95,599.969971
11/22/95,598.400024
11/21/95,600.23999
11/20/95,596.849976
11/17/95,600.070007
11/16/95,597.340027
11/15/95,593.960022
11/14/95,589.289978
11/13/95,592.299988
11/10/95,592.719971
11/9/95,593.26001
11/8/95,591.710022
11/7/95,586.320007
11/6/95,588.460022
11/3/95,590.570007
11/2/95,589.719971
11/1/95,584.219971
10/31/95,581.5
10/30/95,583.25
10/27/95,579.700012
10/26/95,576.719971
10/25/95,582.469971
10/24/95,586.539978
10/23/95,585.059998
10/20/95,587.460022
10/19/95,590.650024
10/18/95,587.440002
10/17/95,586.780029
10/16/95,583.030029
10/13/95,584.5
10/12/95,583.099976
10/11/95,579.460022
10/10/95,577.52002
10/9/95,578.369995
10/6/95,582.48999
10/5/95,582.630005
10/4/95,581.469971
10/3/95,582.340027
10/2/95,581.719971
9/29/95,584.409973
9/28/95,585.869995
9/27/95,581.039978
9/26/95,581.409973
9/25/95,581.809998
9/22/95,581.72998
9/21/95,583
9/20/95,586.77002
9/19/95,584.200012
9/18/95,582.77002
9/15/95,583.349976
9/14/95,583.609985
9/13/95,578.77002
9/12/95,576.51001
9/11/95,573.909973
9/8/95,572.679993
9/7/95,570.289978
9/6/95,570.169983
9/5/95,569.169983
9/1/95,563.840027
8/31/95,561.880005
8/30/95,560.919983
8/29/95,560
8/28/95,559.049988
8/25/95,560.099976
8/24/95,557.460022
8/23/95,557.140015
8/22/95,559.52002
8/21/95,558.109985
8/18/95,559.210022
8/17/95,559.039978
8/16/95,559.969971
8/15/95,558.570007
8/14/95,559.73999
8/11/95,555.109985
8/10/95,557.450012
8/9/95,559.710022
8/8/95,560.390015
8/7/95,560.030029
8/4/95,558.940002
8/3/95,558.75
8/2/95,558.799988
8/1/95,559.640015
7/31/95,562.059998
7/28/95,562.929993
7/27/95,565.219971
7/26/95,561.609985
7/25/95,561.099976
7/24/95,556.630005
7/21/95,553.619995
7/20/95,553.539978
7/19/95,550.97998
7/18/95,558.460022
7/17/95,562.719971
7/14/95,559.890015
7/13/95,561
7/12/95,560.890015
7/11/95,554.780029
7/10/95,557.190002
7/7/95,556.369995
7/6/95,553.98999
7/5/95,547.26001
7/3/95,547.090027
6/30/95,544.75
6/29/95,543.869995
6/28/95,544.72998
6/27/95,542.429993
6/26/95,544.130005
6/23/95,549.710022
6/22/95,551.070007
6/21/95,543.97998
6/20/95,544.97998
6/19/95,545.219971
6/16/95,539.830017
6/15/95,537.119995
6/14/95,536.469971
6/13/95,536.049988
6/12/95,530.880005
6/9/95,527.940002
6/8/95,532.349976
6/7/95,533.130005
6/6/95,535.549988
6/5/95,535.599976
6/2/95,532.51001
6/1/95,533.48999
5/31/95,533.400024
5/30/95,523.580017
5/26/95,523.650024
5/25/95,528.590027
5/24/95,528.609985
5/23/95,528.590027
5/22/95,523.650024
5/19/95,519.190002
5/18/95,519.580017
5/17/95,527.070007
5/16/95,528.190002
5/15/95,527.73999
5/12/95,525.549988
5/11/95,524.369995
5/10/95,524.359985
5/9/95,523.559998
5/8/95,523.960022
5/5/95,520.119995
5/4/95,520.539978
5/3/95,520.47998
